Subject,Country,Value,Frequency
Total,Japan,3.7,Annual
Total,Norway,1.532134,Annual
Total,Slovenia,8.379666,Annual
Total,Canada,11.69344,Annual
Total,Norway,8.098866,Annual
Total,Colombia,2.619045,Annual
Total,South Africa,1.425311,Annual
Energy,Germany,20.768,Annual
Energy,Korea,-4.823544,Annual
Energy,Chile,-4.484205,Annual
Energy,Slovenia,10.6031,Annual
Energy,Australia,45.0238,Annual
Energy,Luxembourg,21.25986,Annual
Energy,Costa Rica,15.69496,Annual
Food,Canada,4.544409,Annual
Food,Finland,1.724543,Annual
Food,Germany,0.9914768,Annual
Food,Italy,19.68773,Annual
Food,Netherlands,2.664664,Annual
Food,Switzerland,0.4341124,Annual
Food,OECD - Total,2.420523,Annual
Food,Finland,24.34896,Annual
Food,China (People's Republic of),39.22822,Annual
Food,OECD - Total,31.80338,Annual
"Total less food, less energy",Mexico,27.04654,Annual
"Total less food, less energy",Italy,17.01296,Annual
"Total less food, less energy",Slovenia,2.761613,Annual
"Total less food, less energy",Slovak Republic,3.438639,Annual
"Total less food, less energy",Japan,1.978172,Annual
"Total less food, less energy",Hungary,54.27804,Annual
"Total less food, less energy",United States,45.04365,Annual
"Total less food, less energy",Israel,59.33018,Annual
Total,Germany,29.66692,Annual
Total,Japan,22.83217,Annual
Total,Spain,2.652784,Annual
Total,Indonesia,32.08609,Annual
Energy,Finland,5.189918,Annual
Energy,Italy,4.897752,Annual
Energy,Spain,38.59729,Annual
Food,Germany,30.45905,Annual
Food,Italy,59.58767,Annual
Food,China (People's Republic of),51.67213,Annual
"Total less food, less energy",Italy,55.2363,Annual
Total,Austria,3.974669,Annual
Total,Hungary,23.46903,Annual
Total,Korea,11.68898,Annual
Total,Portugal,2.336863,Annual
Total,United States,3.664563,Annual
Total,Chile,4.407798,Annual
Total,OECD - Total,2.773217,Annual
Energy,Iceland,6.124194,Annual
Energy,Luxembourg,9.563413,Annual
Energy,Norway,-3.279715,Annual
Food,Finland,11.25938,Annual
Food,Hungary,5.972369,Annual
Food,Switzerland,0.4341036,Annual
Food,United Kingdom,3.127656,Annual
Food,China (People's Republic of),-2.6,Annual
Food,Costa Rica,5.599275,Annual
"Total less food, less energy",Iceland,5.052842,Annual
"Total less food, less energy",Slovenia,3.937412,Annual
"Total less food, less energy",United States,2.33707,Annual
"Total less food, less energy",Hungary,24.85485,Annual
"Total less food, less energy",Colombia,13.57475,Annual
Total,Belgium,55.81849,Annual
Total,Hungary,13.8137,Annual
Total,New Zealand,8.555275,Annual
Total,South Africa,5.734206,Annual
Energy,Portugal,43.10511,Annual
Food,Sweden,7.922306,Annual
Food,United Kingdom,48.6,Annual
Food,Russia,58.01918,Annual
Food,G7,57.03283,Annual
"Total less food, less energy",United States,14.99162,Annual
Total,Australia,3.278688,Annual
Total,Denmark,6.290782,Annual
Total,Germany,2.780563,Annual
Total,Luxembourg,-0.05666491,Annual
Total,Switzerland,1.296002,Annual
Total,United Kingdom,3.427615,Annual
Total,Indonesia,3.030587,Annual
Total,South Africa,15.25424,Annual
Total,European Union (28 countries),1.8,Annual
Energy,Finland,-4.278523,Annual
Energy,Italy,-6.996037,Annual
Energy,Japan,1.586103,Annual
Energy,New Zealand,14.40734,Annual
Energy,Spain,8.046833,Annual
Energy,South Africa,6.356456,Annual
Food,Australia,2.915198,Annual
Food,Greece,0.5146211,Annual
Food,United Kingdom,12.62239,Annual
Food,G7,1.078783,Annual
"Total less food, less energy",Luxembourg,4.281687,Annual
"Total less food, less energy",Euro area (19 countries),1.5,Annual
"Total less food, less energy",Germany,6.821723,Annual
"Total less food, less energy",Slovenia,7.271945,Annual
"Total less food, less energy",New Zealand,14.99257,Annual
"Total less food, less energy",United Kingdom,1.067731,Annual
"Total less food, less energy",Turkey,13.89549,Annual
Total,Australia,12.86278,Annual
Total,Belgium,14.70329,Annual
Total,Luxembourg,54.73304,Annual
Total,Turkey,4.258073e-05,Annual
Total,OECD - Total,39.26806,Annual
Energy,Canada,8.675774,Annual
Energy,Ireland,46.10638,Annual
Energy,Netherlands,12.96536,Annual
Food,Australia,13.62831,Annual
Food,Netherlands,27.7371,Annual
Food,Switzerland,37.26844,Annual
Food,Indonesia,23.07739,Annual
"Total less food, less energy",France,16.09915,Annual
"Total less food, less energy",Turkey,5.718023,Annual
"Total less food, less energy",United States,41.12202,Annual
Total,Germany,0.3127377,Annual
Total,Japan,-0.008573388,Annual
Total,New Zealand,-10.91559,Annual
Total,Spain,8.743695,Annual
Total,Switzerland,3.43539,Annual
Total,OECD - Europe,3.016093,Annual
Energy,Austria,22.4675,Annual
Energy,Hungary,28.38893,Annual
Energy,Netherlands,-0.2597352,Annual
Energy,Norway,-2.544053,Annual
Energy,Estonia,8.156522,Annual
Energy,OECD - Europe,2.866716,Annual
Food,Australia,1.922286,Annual
Food,France,2.729031,Annual
Food,Hungary,11.93899,Annual
Food,Slovak Republic,51.92009,Annual
Food,United States,1.167711,Annual
Food,G7,5.640467,Annual
Food,G7,3.650881,Annual
"Total less food, less energy",Ireland,0.6607201,Annual
"Total less food, less energy",Euro area (19 countries),1.5,Annual
"Total less food, less energy",Germany,1.73911,Annual
"Total less food, less energy",Denmark,1.413582,Annual
"Total less food, less energy",Netherlands,3.149251,Annual
"Total less food, less energy",Greece,3.155413,Annual
Food,Mexico,36.33737,Annual
Food,Sweden,7.539143,Annual
Total,Austria,20.67479,Annual
Total,Canada,26.56044,Annual
Total,Greece,21.60712,Annual
Total,Ireland,39.12183,Annual
Total,New Zealand,2.101977,Annual
Total,United States,11.85217,Annual
Total,India,39.57885,Annual
Energy,Canada,56.11374,Annual
Energy,Portugal,16.19354,Annual
Energy,United Kingdom,45.33183,Annual
"Total less food, less energy",Belgium,56.82693,Annual
"Total less food, less energy",Finland,10.1598,Annual
"Total less food, less energy",Turkey,5.718023,Annual
"Total less food, less energy",G7,26.3168,Annual
Food,Hungary,17.27293,Annual
Food,Luxembourg,3.525024,Annual
Food,Indonesia,10.95003,Annual
Total,Canada,3.315881,Annual
Total,Iceland,18.29777,Annual
Total,Italy,4.519271,Annual
Total,Italy,0.03878675,Annual
Total,New Zealand,3.754941,Annual
Total,Portugal,8.782768,Annual
Total,Sweden,7.209786,Annual
Total,Chile,20.05224,Annual
Total,Israel,0.2442105,Annual
Energy,Austria,6.401682,Annual
Energy,Germany,0.8516483,Annual
Energy,Slovak Republic,42.48391,Annual
Energy,Estonia,5.593086,Annual
Energy,Colombia,6.378874,Annual
"Total less food, less energy",OECD - Europe,7.831278,Annual
"Total less food, less energy",Switzerland,0.8089311,Annual
"Total less food, less energy",Germany,4.788512,Annual
"Total less food, less energy",Finland,0.614233,Annual
"Total less food, less energy",Austria,1.655172,Annual
"Total less food, less energy",Denmark,8.288827,Annual
"Total less food, less energy",Estonia,2.40785,Annual
"Total less food, less energy",Colombia,4.483178,Annual
Total,Australia,1.76278,Annual
Total,Austria,1.355554,Annual
Total,Germany,1.577429,Annual
Total,Ireland,0.1825423,Annual
Total,New Zealand,0.2927033,Annual
Total,United States,2.442583,Annual
Total,India,4.775169,Annual
Total,Colombia,25.18797,Annual
Total,Germany,46.16123,Annual
Total,Hungary,3.129821,Annual
Total,Luxembourg,15.41875,Annual
Total,Norway,8.284018,Annual
Total,Portugal,28.99027,Annual
Total,India,2.09175,Annual
Total,South Africa,25.63911,Annual
Energy,France,25.97427,Annual
Energy,Ireland,-1.454651,Annual
Energy,Netherlands,23.26049,Annual
Energy,Norway,9.361222,Annual
Energy,Switzerland,0.08948546,Annual
Energy,United Kingdom,12.6279,Annual
Energy,OECD - Europe,21.46737,Annual
Energy,Colombia,6.378874,Annual
Energy,Canada,51.48592,Annual
Energy,Germany,13.39359,Annual
Energy,Mexico,0.02757801,Annual
Energy,Switzerland,24.94602,Annual
Energy,Latvia,36.30236,Annual
Food,Canada,1.570486,Annual
Food,Mexico,10.65576,Annual
Food,Spain,1.316136,Annual
Food,China (People's Republic of),12.3,Annual
Food,OECD - Europe,0.9921561,Annual
Food,Finland,7.703889,Annual
Food,Luxembourg,17.46346,Annual
Food,United Kingdom,5.776114,Annual
Food,European Union – 27 countries (from 01/02/2020),2.2,Annual
"Total less food, less energy",France,4.154407,Annual
"Total less food, less energy",Canada,3.61282,Annual
"Total less food, less energy",Switzerland,0.8089311,Annual
"Total less food, less energy",Latvia,4.740892,Annual
"Total less food, less energy",Slovak Republic,3.972508,Annual
"Total less food, less energy",Netherlands,1.676832,Annual
"Total less food, less energy",Lithuania,0.9143168,Annual
"Total less food, less energy",Canada,30.11034,Annual
"Total less food, less energy",Hungary,32.95099,Annual
"Total less food, less energy",South Africa,56.91858,Annual
Total,Australia,1.483129,Annual
Total,Belgium,3.167712,Annual
Total,France,0.5371416,Annual
Total,Ireland,3.159406,Annual
Total,Mexico,58.91343,Annual
Total,Poland,3.7,Annual
Total,United States,1.586032,Annual
Total,Estonia,3.9334,Annual
Total,OECD - Europe,2.607738,Annual
Total,Costa Rica,20.82985,Annual
Total,Finland,20.97898,Annual
Total,Greece,7.825378,Annual
Total,Norway,39.4,Annual
Total,Sweden,7.410897,Annual
Total,Brazil,5.206859e-10,Annual
Total,G7,26.40266,Annual
Energy,Germany,-2.826429,Annual
Energy,Hungary,5.507702,Annual
Energy,New Zealand,-6.979928,Annual
Energy,United Kingdom,6.308973,Annual
Energy,G7,12.85577,Annual
Energy,Canada,9.356008,Annual
Energy,Netherlands,45.97628,Annual
Energy,Slovenia,54.30833,Annual
Food,Austria,0.3166667,Annual
Food,Germany,5.707157,Annual
Food,Italy,9.065564,Annual
Food,Luxembourg,1.20959,Annual
Food,Portugal,10.45671,Annual
Food,South Africa,6.164315,Annual
Food,G7,15.90298,Annual
Food,OECD - Europe,8.109333,Annual
Food,Colombia,8.631759,Annual
Food,Denmark,32.36922,Annual
Food,Mexico,42.02684,Annual
Food,United States,13.2001,Annual
"Total less food, less energy",Switzerland,5.331154,Annual
"Total less food, less energy",OECD - Total,9.706287,Annual
"Total less food, less energy",Denmark,0.8730215,Annual
"Total less food, less energy",Costa Rica,10.40706,Annual
"Total less food, less energy",OECD - Total,8.907948,Annual
Total,Australia,15.16245,Annual
Total,Denmark,0.8136095,Annual
Total,Greece,2.895001,Annual
Total,New Zealand,4.925242,Annual
Total,Switzerland,3.080554,Annual
Total,Switzerland,5.655101,Annual
Total,United Kingdom,7.071091,Annual
Total,United States,1.640043,Annual
Total,OECD - Total,12.00227,Annual
Total,Latvia,2.930369,Annual
Total,Hungary,47.32222,Annual
Total,Netherlands,15.60301,Annual
Total,Switzerland,30.05875,Annual
Total,Latvia,46.13927,Annual
Energy,Canada,12.1519,Annual
Energy,Iceland,7.524671,Annual
Energy,New Zealand,12.26552,Annual
Energy,Spain,3.45016,Annual
Energy,United States,-5.891073,Annual
Energy,OECD - Europe,7.108725,Annual
Energy,Australia,6.909428,Annual
Energy,Iceland,34.31377,Annual
Energy,South Africa,44.05075,Annual
Food,Austria,1.930754,Annual
Food,France,3.145412,Annual
Food,Italy,15.25825,Annual
Food,Luxembourg,0.5355223,Annual
Food,Netherlands,3.217158,Annual
Food,United Kingdom,18.01814,Annual
Food,United States,3.227337,Annual
Food,OECD - Europe,5.826696,Annual
Food,Lithuania,1.233342,Annual
Food,Austria,23.57671,Annual
Food,Turkey,8.514578e-05,Annual
Food,Israel,57.85234,Annual
"Total less food, less energy",Ireland,4.564564,Annual
"Total less food, less energy",Portugal,1.451571,Annual
"Total less food, less energy",Israel,11.61605,Annual
"Total less food, less energy",Norway,0.5026679,Annual
"Total less food, less energy",Finland,9.293492,Annual
"Total less food, less energy",G7,3.675069,Annual
"Total less food, less energy",Italy,5.281227,Annual
Total,Korea,2.187221,Annual
"Total less food, less energy",Poland,16.16193,Annual
Total,Chile,3.569101,Annual
Total,Slovenia,20.99182,Annual
Energy,Portugal,0.6693223,Annual
Food,Finland,14.18093,Annual
Food,G7,3.170709,Annual
"Total less food, less energy",New Zealand,2.424182,Annual
Total,Korea,11.26139,Annual
Energy,Euro area (19 countries),13.3,Annual
Food,Chile,2.010796,Annual
Total,Portugal,1.402573,Annual
"Total less food, less energy",Iceland,2.426254,Annual
Total,Finland,9.191667,Annual
Food,South Africa,4.892073,Annual
Total,Denmark,1.924221,Annual
Energy,New Zealand,2.221582,Annual
Total,Switzerland,1.511265,Annual
Energy,Italy,3.062391,Annual
Food,OECD - Europe,9.767667,Annual
"Total less food, less energy",United Kingdom,1.9,Annual
Total,European Union (28 countries),0.2,Annual
Energy,OECD - Total,5.205194,Annual
Food,Lithuania,0.7681569,Annual
Energy,Japan,7.128356,Annual
Total,Canada,1.912145,Annual
Total,Chile,12.72776,Annual
Energy,OECD - Total,8.607287,Annual
"Total less food, less energy",Japan,3.911158,Annual
Energy,Australia,-6.225967,Annual
"Total less food, less energy",European Union – 27 countries (from 01/02/2020),1.6,Annual
Food,Iceland,1.320784,Annual
Total,Sweden,9.995264,Annual
Energy,Canada,0.2815681,Annual
Food,Austria,2.084429,Annual
"Total less food, less energy",Czech Republic,1.888813,Annual
Total,Italy,4.626732,Annual
Total,European Union – 27 countries (from 01/02/2020),2.6,Annual
Energy,OECD - Total,6.769941,Annual
"Total less food, less energy",Switzerland,0.1817019,Annual
Total,Austria,6.328318,Annual
Food,Czech Republic,-0.2519444,Annual
"Total less food, less energy",France,0.551421,Annual
Total,Greece,20.99109,Annual
Total,United States,1.525054,Annual
Food,United Kingdom,2.4,Annual
Total,European Union – 27 countries (from 01/02/2020),2.7,Annual
Energy,OECD - Europe,14.51659,Annual
"Total less food, less energy",Switzerland,-0.9501695,Annual
Total,Finland,1.024094,Annual
Energy,Hungary,10.7799,Annual
"Total less food, less energy",Germany,1.369097,Annual
Energy,OECD - Total,7.411602,Annual
Total,United States,3.225944,Annual
Energy,Euro area (19 countries),3.2,Annual
Total,Sweden,10.62833,Annual
Food,Greece,5.822561,Annual
Energy,Luxembourg,54.93596,Annual
"Total less food, less energy",Iceland,42.44475,Annual
"Total less food, less energy",Hungary,39.01315,Annual
Total,Poland,11.41721,Annual
Total,Chile,5.244169,Annual
Total,United States,52.30286,Annual
"Total less food, less energy",Hungary,54.27804,Annual
Food,Australia,30.14982,Annual
"Total less food, less energy",Germany,29.04861,Annual
Energy,Canada,40.40702,Annual
Total,Portugal,6.632935,Annual
Food,Latvia,26.59848,Annual
Total,OECD - Total,49.06081,Annual
Food,Turkey,0.00151657,Annual
"Total less food, less energy",Switzerland,22.87721,Annual
Total,Netherlands,31.45312,Annual
Total,Indonesia,1.784932,Annual
Energy,Austria,57.34846,Annual
Energy,Luxembourg,56.45749,Annual
Total,Belgium,14.31424,Annual
"Total less food, less energy",Iceland,51.92443,Annual
Energy,Portugal,1.310459,Annual
Energy,Hungary,9.005525,Annual
Food,Austria,4.08399,Annual
Food,Portugal,6.467128,Annual
Food,OECD - Europe,4.958503,Annual
Food,New Zealand,0.3122561,Annual
Energy,Denmark,2.471152,Annual
Energy,Spain,-0.7991391,Annual
Food,Portugal,2.711758,Annual
Total,Finland,1.478288,Annual
Energy,Canada,6.758322,Annual
Energy,Italy,3.466667,Annual
Food,Netherlands,3.4,Annual
"Total less food, less energy",Australia,2.106593,Annual
Total,Netherlands,2.34107,Annual
Energy,Latvia,-6.944733,Annual
Food,France,2.449006,Annual
"Total less food, less energy",Euro area (19 countries),0.8,Annual
Total,Spain,6.791436,Annual
Food,Czech Republic,2.018163,Annual
"Total less food, less energy",Costa Rica,1.892417,Annual
Energy,Luxembourg,1.422973,Annual
Food,Austria,4.08399,Annual
"Total less food, less energy",Netherlands,1.045655,Annual
Total,South Africa,5.957447,Annual
Food,United States,2.861253,Annual
Total,Indonesia,6.521739,Annual
Food,Slovak Republic,7.466394,Annual
Total,Korea,7.146101,Annual
Food,Finland,1.066889,Annual
Total,South Africa,1.288876,Annual
Food,Poland,4.941667,Annual
Food,Brazil,5.803592,Annual
Total,OECD - Europe,2.625645,Annual
Food,Australia,0.2200269,Annual
"Total less food, less energy",Mexico,3.866963,Annual
Total,Denmark,12.30532,Annual
Energy,Finland,3.786963,Annual
Food,Denmark,3.490458,Annual
Total,New Zealand,0.6462373,Annual
Energy,Norway,5.266098,Annual
Food,Spain,4.140619,Annual
"Total less food, less energy",European Union (28 countries),2.7,Annual
Energy,New Zealand,1.665433,Annual
Food,Colombia,8.060803,Annual
"Total less food, less energy",Canada,2.552079,Annual
"Total less food, less energy",Hungary,3.823812,Annual
Total,Iceland,32.35112,Annual
Total,India,4.246353,Annual
Food,Turkey,49.58293,Annual
"Total less food, less energy",Slovak Republic,2.965561,Annual
Total,Australia,9.05035,Annual
Energy,Korea,9.555537,Annual
Total,Finland,9.191667,Annual
"Total less food, less energy",New Zealand,6.763357,Annual
Total,India,3.079941,Annual
Energy,OECD - Europe,12.24349,Annual
"Total less food, less energy",Canada,0.8284461,Annual
"Total less food, less energy",Czech Republic,2.371029,Annual
Energy,Portugal,0.6693223,Annual
Food,Luxembourg,9.00308,Annual
Food,Switzerland,1.270374,Annual
"Total less food, less energy",Norway,3.924578,Annual
Total,Luxembourg,15.57926,Annual
"Total less food, less energy",Greece,25.04529,Annual
Total,United States,59.2011,Annual
Total,Spain,5.656774,Annual
Food,Australia,51.02902,Annual
Food,United Kingdom,45.58908,Annual
Energy,Australia,21.21791,Annual
Food,Switzerland,58.14352,Annual
Energy,Slovenia,37.01782,Annual
Energy,Belgium,57.52587,Annual
Food,OECD - Total,37.92504,Annual
Food,Luxembourg,22.98063,Annual
Total,Indonesia,37.09566,Annual
Energy,New Zealand,4.272312,Annual
Energy,France,7.705257,Annual
Food,Israel,27.54755,Annual
"Total less food, less energy",Turkey,0.9177439,Annual
Total,Belgium,19.29208,Annual
Energy,Australia,41.00872,Annual
Total,Germany,29.66692,Annual
Energy,OECD - Europe,22.07063,Annual
Energy,Hungary,14.23669,Annual
Total,Czech Republic,47.92465,Annual
Total,G7,33.56744,Annual
Food,Spain,51.87701,Annual
Food,United States,40.91067,Annual
Total,Spain,6.302591,Annual
Total,OECD - Europe,29.86807,Annual
Energy,Ireland,57.20945,Annual
Energy,Netherlands,49.84272,Annual
Energy,United States,48.1612,Annual
Food,Austria,47.1588,Annual
Food,Mexico,0.413565,Annual
Food,Brazil,47.74037,Annual
"Total less food, less energy",Canada,55.48203,Annual
"Total less food, less energy",Netherlands,27.48604,Annual
"Total less food, less energy",United Kingdom,52.03776,Annual
Total,Austria,1.810359,Annual
Total,Canada,5.625864,Annual
Total,Italy,4.96832,Annual
Total,Korea,0.7062082,Annual
Total,New Zealand,-7.762788,Annual
Total,New Zealand,2.302026,Annual
Total,Switzerland,-0.6925458,Annual
Total,China (People's Republic of),9.3,Annual
Total,OECD - Europe,10.78497,Annual
Energy,Iceland,8.744698,Annual
Energy,Poland,6.191667,Annual
Energy,Sweden,32.75072,Annual
Energy,Chile,14.90957,Annual
Food,Austria,3.290264,Annual
Food,Canada,2.513227,Annual
Food,Ireland,1.153448,Annual
Food,Italy,1.035645,Annual
Food,Slovak Republic,5.676497,Annual
Food,Turkey,12.78723,Annual
Food,United States,2.363116,Annual
Food,South Africa,19.161,Annual
Food,OECD - Europe,1.486058,Annual
"Total less food, less energy",Poland,2.175,Annual
"Total less food, less energy",Italy,1.653383,Annual
"Total less food, less energy",Switzerland,1.030665,Annual
"Total less food, less energy",Austria,3.660746,Annual
"Total less food, less energy",New Zealand,1.876562,Annual
"Total less food, less energy",Colombia,2.680713,Annual
Total,Korea,1.344778,Annual
Total,Netherlands,18.14412,Annual
Total,Spain,2.18037,Annual
Total,Chile,17.1735,Annual
Total,Slovenia,0.5384687,Annual
Energy,Australia,18.35554,Annual
Energy,Germany,40.59839,Annual
Energy,Portugal,16.19354,Annual
Food,Denmark,19.03913,Annual
Food,Mexico,50.96649,Annual
Food,Portugal,10.85341,Annual
Food,Latvia,51.90584,Annual
"Total less food, less energy",Denmark,57.97106,Annual
"Total less food, less energy",Sweden,58.42434,Annual
"Total less food, less energy",Israel,0.002402699,Annual
Total,Austria,4.704262,Annual
Total,Finland,6.475761,Annual
Total,Greece,26.56085,Annual
Total,Iceland,5.197023,Annual
Total,Korea,6.618312,Annual
Total,Portugal,2.365362,Annual
Total,Switzerland,3.080554,Annual
Total,OECD - Europe,9.012175,Annual
Energy,Austria,7.038359,Annual
Energy,Germany,20.768,Annual
Energy,Ireland,14.64497,Annual
Energy,Korea,17.02585,Annual
Energy,New Zealand,12.26552,Annual
Energy,Israel,5.6,Annual
Food,Belgium,2.556108,Annual
Food,Denmark,1.035528,Annual
Food,Iceland,25.02618,Annual
Food,Russia,6.152152,Annual
Food,OECD - Europe,2.861393,Annual
Food,Euro area (19 countries),1.7,Annual
"Total less food, less energy",Canada,1.046755,Annual
"Total less food, less energy",Belgium,7.116648,Annual
"Total less food, less energy",Denmark,2.258953,Annual
"Total less food, less energy",Netherlands,4.785684,Annual
"Total less food, less energy",G7,4.567966,Annual
Total,Hungary,3.89095,Annual
Total,Luxembourg,18.35694,Annual
Total,New Zealand,1.767607,Annual
Total,India,19.65814,Annual
Total,OECD - Europe,57.6969,Annual
Energy,Luxembourg,55.07187,Annual
Energy,Portugal,1.19741,Annual
Energy,Turkey,43.9931,Annual
Food,Turkey,0.001990262,Annual
Food,Brazil,1.020448e-09,Annual
"Total less food, less energy",Denmark,45.30583,Annual
"Total less food, less energy",Netherlands,38.48667,Annual
"Total less food, less energy",United Kingdom,16.28618,Annual
"Total less food, less energy",G7,48.53878,Annual
Total,Italy,14.64659,Annual
Total,Korea,4.06642,Annual
Total,New Zealand,3.28529,Annual
Total,Spain,19.77369,Annual
Total,United States,2.188027,Annual
Total,Indonesia,6.406562,Annual
Total,OECD - Europe,6.691599,Annual
Energy,Austria,3.800841,Annual
Energy,Germany,16.22428,Annual
Energy,Luxembourg,15.32669,Annual
Energy,Norway,3.368776,Annual
Energy,United Kingdom,2.947882,Annual
Energy,Estonia,-2.498941,Annual
Energy,OECD - Total,4.53737,Annual
Food,Austria,5.320289,Annual
Food,Germany,-0.9733177,Annual
Food,Luxembourg,1.931746,Annual
Food,United Kingdom,2.516403,Annual
Food,OECD - Total,9.340876,Annual
Food,Latvia,0.5769475,Annual
Food,Colombia,4.883408,Annual
"Total less food, less energy",Portugal,10.6259,Annual
"Total less food, less energy",Switzerland,2.760046,Annual
"Total less food, less energy",Sweden,1.840993,Annual
"Total less food, less energy",Finland,4.619152,Annual
"Total less food, less energy",New Zealand,2.613563,Annual
"Total less food, less energy",Denmark,0.7642548,Annual
"Total less food, less energy",Japan,2.771473,Annual
"Total less food, less energy",Turkey,6.806795,Annual
"Total less food, less energy",Colombia,4.275679,Annual
Food,Canada,17.18704,Annual
Food,Italy,31.60548,Annual
Food,United States,59.46578,Annual
Food,OECD - Total,32.47802,Annual
Total,Hungary,31.85574,Annual
Total,New Zealand,0.3558898,Annual
Total,Sweden,13.21329,Annual
Total,Colombia,10.42066,Annual
Energy,Belgium,57.60094,Annual
Energy,Ireland,24.22706,Annual
Energy,New Zealand,42.33375,Annual
Energy,United Kingdom,28.87985,Annual
"Total less food, less energy",Finland,47.70565,Annual
"Total less food, less energy",Norway,55.66731,Annual
Food,Finland,-0.6356825,Annual
Food,Greece,1.50546,Annual
Food,Japan,3.950792,Annual
Food,Portugal,23.3112,Annual
Food,United Kingdom,4.5,Annual
Food,South Africa,1.688553,Annual
Food,Latvia,12.40948,Annual
Total,Australia,6.734694,Annual
Total,Denmark,8.005187,Annual
Total,Greece,3.631109,Annual
Total,Ireland,4.872905,Annual
Total,Italy,6.456608,Annual
Total,New Zealand,15.41766,Annual
Total,Portugal,21.89923,Annual
Total,United States,1.525054,Annual
Total,OECD - Total,0.4057079,Annual
Energy,Australia,4.212186,Annual
Energy,Denmark,12.25566,Annual
Energy,Japan,9.034595,Annual
Energy,New Zealand,-0.5897999,Annual
Energy,G7,0.704199,Annual
"Total less food, less energy",Luxembourg,2.119668,Annual
"Total less food, less energy",Sweden,10.74184,Annual
"Total less food, less energy",New Zealand,7.538775,Annual
"Total less food, less energy",Estonia,1.874572,Annual
Total,Austria,19.88445,Annual
Total,Iceland,2.803231,Annual
Total,Mexico,22.10365,Annual
Total,Spain,4.4688,Annual
Total,Turkey,0.007995404,Annual
Total,India,4.986875,Annual
Total,OECD - Europe,20.99409,Annual
Energy,Austria,31.72191,Annual
Energy,New Zealand,47.04256,Annual
Food,Canada,11.87511,Annual
Food,Turkey,0.004103085,Annual
Food,OECD - Total,7.817247,Annual
"Total less food, less energy",Germany,27.40272,Annual
"Total less food, less energy",Italy,4.259908,Annual
"Total less food, less energy",Israel,18.89988,Annual
Total,Australia,4.457435,Annual
Total,Canada,1.061571,Annual
Total,Finland,11.30575,Annual
Total,Hungary,2.850248,Annual
Total,Mexico,15.82472,Annual
Total,Portugal,2.340095,Annual
Total,Sweden,0.3736598,Annual
Total,United States,1.552279,Annual
Total,Israel,39.30674,Annual
Total,OECD - Total,6.814309,Annual
Energy,Australia,8.5486,Annual
Energy,Belgium,17.12447,Annual
Energy,Greece,-0.5184588,Annual
Energy,Korea,0.3905437,Annual
Energy,Israel,-1.701828,Annual
Energy,Colombia,11.91115,Annual
Food,Finland,2.020337,Annual
Food,Iceland,2.839568,Annual
Food,Luxembourg,3.227892,Annual
Food,Spain,4.098306,Annual
Food,United States,10.81264,Annual
Food,South Africa,15.5469,Annual
Food,Latvia,2.313369,Annual
"Total less food, less energy",France,1.347133,Annual
"Total less food, less energy",Italy,2.489001,Annual
"Total less food, less energy",Euro area (19 countries),1.0,Annual
"Total less food, less energy",Latvia,1.658767,Annual
"Total less food, less energy",New Zealand,16.05903,Annual
"Total less food, less energy",Australia,0.8170164,Annual
"Total less food, less energy",Netherlands,3.53955,Annual
"Total less food, less energy",Turkey,10.77533,Annual
Total,France,17.53312,Annual
Total,Mexico,0.7004362,Annual
Total,Portugal,44.80856,Annual
Total,Chile,25.37493,Annual
Total,Israel,0.004249221,Annual
Energy,Austria,54.70827,Annual
Energy,Italy,4.783816,Annual
Energy,Poland,43.42315,Annual
Energy,United Kingdom,26.92141,Annual
Energy,G7,48.41975,Annual
Food,New Zealand,5.113856,Annual
Food,Latvia,51.90584,Annual
Food,OECD - Europe,31.11427,Annual
"Total less food, less energy",Ireland,54.52969,Annual
Total,Canada,1.490133,Annual
Total,Finland,4.383976,Annual
Total,Hungary,1.7332,Annual
Total,Korea,0.8129966,Annual
Total,Luxembourg,0.294565,Annual
Total,Norway,2.365967,Annual
Total,Switzerland,-0.4804679,Annual
Total,United States,3.02882,Annual
Total,Chile,1.92822,Annual
Total,G7,2.036046,Annual
Total,Latvia,0.1406308,Annual
Energy,Denmark,-0.2548752,Annual
Energy,Ireland,3.776776,Annual
Energy,Luxembourg,-2.619775,Annual
Energy,Sweden,4.10919,Annual
Energy,Israel,19.01883,Annual
Food,Australia,2.433704,Annual
Food,Czech Republic,2.018163,Annual
Food,Iceland,33.92934,Annual
Food,United States,1.760857,Annual
Food,Israel,9.441639,Annual
Food,OECD - Total,8.544847,Annual
Food,G7,1.07926,Annual
Food,Costa Rica,23.89098,Annual
"Total less food, less energy",Ireland,0.9622605,Annual
"Total less food, less energy",Mexico,3.238194,Annual
"Total less food, less energy",Switzerland,1.401569,Annual
"Total less food, less energy",Austria,10.17204,Annual
"Total less food, less energy",United States,1.763072,Annual
"Total less food, less energy",Slovak Republic,1.873353,Annual
"Total less food, less energy",Estonia,1.410042,Annual
"Total less food, less energy",G7,1.626091,Annual
Total,Austria,56.06119,Annual
Total,New Zealand,12.74475,Annual
Total,Norway,10.43416,Annual
Total,Portugal,25.80782,Annual
Total,United States,52.30286,Annual
Total,Russia,32.45434,Annual
Energy,Japan,33.03762,Annual
Energy,Sweden,24.2713,Annual
Energy,Colombia,42.11401,Annual
